 ,Area,Mean,Min,Max,Angle,Length,Length [nm],,normal,
,,,,,,,,,,
2,0.118,30200.907,25763.266,36196,-78.111,2.105,2105,,4369,4368
3,0.068,41567.328,38372.59,44116,-97.765,1.203,1203,,753,752
4,0.118,30582.454,26051.002,39068,-106.557,2.092,2092,,,
5,0.118,33825.113,25578,38384.402,-129.806,2.117,2117,,,
6,0.071,40828.855,37930.566,46943,-99.866,1.265,1265,,,
7,0.082,33444.782,29882,41687,-96.34,1.472,1472,,,
8,0.059,36417.508,31443.807,44006,-36.254,1.008,1008,,,
9,0.118,42018.046,34828,56468,-157.38,2.114,2114,,,
10,0.068,42932.953,39345.172,47645,-103.392,1.17,1170,,,
11,0.094,38633.782,24055.742,54328.84,-170.838,1.702,1702,,,
12,0.073,35482.327,23301.709,41051.016,-117.646,1.285,1285,,,
13,0.091,37686.531,31401,43874,-68.552,1.631,1631,,,
14,0.115,37485.033,31493.861,44829.883,-68.199,2.043,2043,,,
15,0.1,40332.935,28029,45958.742,-107.879,1.765,1765,,,
16,0.065,39332.841,35990.285,45308.285,-131.186,1.152,1152,,,
17,0.071,40780.035,25325,45581.477,-87.51,1.248,1248,,,
18,0.085,39832.405,28223,50547,-96.116,1.526,1526,,,
19,0.1,41076.306,33219.816,53165.273,-47.49,1.765,1765,,,
20,0.079,43551.045,39107.383,51806.961,-60.524,1.432,1432,,,
21,0.112,37166.074,33951.441,42078,-71.075,2.005,2005,,,
22,0.138,38169.53,32747,44146,-77.471,2.499,2499,,,
23,0.112,39076.412,21866,51322.129,-69.624,2.024,2024,,,
24,0.056,31790.388,20559,35954.84,-38.157,0.965,965,,,
25,0.118,34408.429,27695.334,48119.578,-68.749,2.094,2094,,,
26,0.091,32523.693,20647,43566.797,-129.56,1.617,1617,,,
27,0.076,38790.856,31711,47160.398,-131.82,1.382,1382,,,
28,0.085,34182.894,28775.547,42201,-154.359,1.503,1503,,,
29,0.085,30466.995,11759,36708.57,-81.87,1.533,1533,,,
30,0.085,35531.975,31727,40330.25,-130.601,1.499,1499,,,
31,0.053,34030.45,31308.605,39077,-120.964,0.948,948,,,
32,0.12,31873.351,26570.5,42671.324,-136.005,2.185,2185,,,
33,0.065,30686.715,15764,33667.332,-73.301,1.132,1132,,,
34,0.085,32723.364,24074,43342,-120.256,1.506,1506,,,
35,0.109,38946.956,28801.373,58280,-144.09,1.941,1941,,,
36,0.112,33598.249,27665,39069.66,-128.418,2.006,2006,,,
37,0.241,24974.776,19035,36621,-142.561,4.369,4369,,,
38,0.118,29912.824,27320,35934.562,-124.509,2.105,2105,,,
39,0.071,30197.761,24834,33905,-118.811,1.237,1237,,,
40,0.05,32652.275,22638,36637,-137.49,0.882,882,,,
41,0.129,30012.396,19056,33030.234,-73.686,2.315,2315,,,
42,0.1,37102.477,32749.637,41943,-93.468,1.792,1792,,,
43,0.12,32112.324,28199.641,40259,22.068,2.164,2164,,,
44,0.103,39339.704,32602.307,55066.027,-112.751,1.822,1822,,,
45,0.085,35601.069,30018,40345,-90,1.518,1518,,,
46,0.068,26303,19797,29086.652,-122.276,1.218,1218,,,
47,0.082,29078.487,17182,33850.445,-87.879,1.464,1464,,,
48,0.109,28554.246,7011,34543.516,-75.579,1.959,1959,,,
49,0.144,30433.561,25358.25,38558.5,-91.193,2.602,2602,,,
50,0.141,33757.182,30416,38682,-88.781,2.548,2548,,,
51,0.141,33757.182,30416,38682,-88.781,2.548,2548,,,
52,0.109,28512.297,24345,36118,-90,1.951,1951,,,
53,0.12,31240.625,26610.801,36972,-94.289,2.174,2174,,,
54,0.103,26982.59,19649,29217.588,-84.958,1.85,1850,,,
55,0.229,25163.398,22377.338,33939,-105.124,4.155,4155,,,
56,0.162,28955.561,23277.186,35440.223,-119.876,2.938,2938,,,
57,0.112,29141.367,26272.756,32324.135,-88.452,2.006,2006,,,
58,0.162,29802.148,21746.35,39523.965,-38.991,2.929,2929,,,
59,0.229,23163.589,14573,30922.402,-90.744,4.174,4174,,,
60,0.126,28699.888,24184,32880.5,-88.636,2.277,2277,,,
61,0.12,30555.707,25283,36482,-90,2.168,2168,,,
62,0.129,33517.423,30016.627,37917.277,-87.337,2.333,2333,,,
63,0.147,28997.61,23994,32856.895,-104.323,2.629,2629,,,
64,0.103,38070.321,34224.188,46863.801,-73.142,1.869,1869,,,
65,0.156,29048.375,17720,39360.203,-22.62,2.818,2818,,,
66,0.141,22632.721,17154.955,24957.992,-51.911,2.548,2548,,,
67,0.091,25116.995,22233.404,30217,-21.448,1.631,1631,,,
68,0.044,31922.914,22074,35585.57,-120.256,0.753,753,,,
69,0.238,22669.228,18151.801,29230.449,-84.999,4.353,4353,,,
70,0.068,27207.174,23723,29021,-90,1.192,1192,,,
71,0.12,29180.231,22933,35155,-78.408,2.158,2158,,,
72,0.106,25991.639,20571,34660,-90,1.897,1897,,,
73,0.076,26944.434,21843,28929.199,-80.91,1.372,1372,,,
74,0.118,31884.249,26696.379,42505,-10.437,2.094,2094,,,
75,0.176,28695.616,23731.162,32418.914,-29.624,3.18,3180,,,
76,0.112,33714.016,19559,46102.832,-64.134,1.988,1988,,,
77,0.076,38288.13,31771.371,46214,14.036,1.341,1341,,,
78,0.173,31611.497,28126.066,37779,-82.011,3.12,3120,,,
79,0.094,36027.019,31061.807,45122,-80.838,1.702,1702,,,
80,0.1,42089.679,36208.816,54280.879,-83.089,1.802,1802,,,
81,0.079,32074.733,25723,35331.68,-67.38,1.409,1409,,,
82,0.103,30105.353,21322.824,43631.824,-96.71,1.856,1856,,,
83,0.088,38519.067,26297,45716,-90,1.572,1572,,,
84,0.147,30362.675,20201,40427.359,-167.093,2.669,2669,,,
85,0.097,33486.246,21892,42465,-84.644,1.742,1742,,,
86,0.076,41207.158,27621,46074.703,-49.899,1.346,1346,,,
87,0.1,32519.88,20545,38809.637,-100.62,1.765,1765,,,
88,0.129,29792.895,25377.273,36002.895,-120.735,2.333,2333,,,
89,0.129,33914.762,26563,38282.723,-95.315,2.341,2341,,,
90,0.091,42470.38,29551,46435.18,-132.274,1.611,1611,,,
91,0.109,31694.156,18479,39894.098,-116.565,1.939,1939,,,
92,0.085,34542.635,27943.686,47165.074,-62.526,1.527,1527,,,
93,0.126,36053.053,21011.02,42957.57,-54.782,2.256,2256,,,
94,0.17,30964.589,25444.445,40208.547,-78.887,3.093,3093,,,
95,0.135,33361.846,28725.631,41259.406,-75.964,2.458,2458,,,
96,0.118,32395.803,25361.777,42402.191,-29.197,2.111,2111,,,
97,0.144,37292.312,24672,52394.5,-91.193,2.602,2602,,,
98,0.091,29479.556,22836.947,39435,-113.199,1.651,1651,,,
99,0.156,30118.797,20726.809,38335.375,-15.642,2.814,2814,,,
100,0.103,29872.471,22592,32567.439,-58.173,1.85,1850,,,
101,0.068,33867.868,26596.773,39209,-7.765,1.203,1203,,,
102,0.132,31489.692,17818,36662.547,-82.235,2.407,2407,,,
